line_number	avg_prompt_throughput_tokens_s	avg_generation_throughput_tokens_s	running_reqs	waiting_reqs	gpu_kv_cache_usage_pct	prefix_cache_hit_rate_pct
146	2235.8	6.0	9	5	6.3	0.0
158	4915.3	57.5	3	0	2.8	0.0
