bench_name,status,command,artifact_path,duration_ms,blocked_category,blocked_detail,metric_name,metric_value,unit
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_latency_us_4K,130.503361,us
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_bandwidth_gbps_4K,0.029231,GB/s
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_latency_us_16K,123.263337,us
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_bandwidth_gbps_16K,0.12379,GB/s
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_latency_us_64K,112.073341,us
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_bandwidth_gbps_64K,0.5446,GB/s
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_latency_us_1M,395.512984,us
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_bandwidth_gbps_1M,2.469104,GB/s
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_latency_us_16M,4716.593617,us
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_bandwidth_gbps_16M,3.312772,GB/s
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_latency_us_256M,120595.08299,us
npu_copy_d2h,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_copy_d2h torch-npu microbench>,microbench/npu_copy_d2h.csv,270.399,,,d2h_bandwidth_gbps_256M,2.073053,GB/s
