bench_name,status,command,artifact_path,duration_ms,blocked_category,blocked_detail,metric_name,metric_value,unit
npu_matmul_shape,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_matmul_shape torch-npu microbench>,microbench/npu_matmul_shape.csv,260.557,,,matmul_ms_256x256,0.155853,ms
npu_matmul_shape,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_matmul_shape torch-npu microbench>,microbench/npu_matmul_shape.csv,260.557,,,matmul_ms_512x512,0.107433,ms
npu_matmul_shape,measurable,/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/bin/python -c <npu_matmul_shape torch-npu microbench>,microbench/npu_matmul_shape.csv,260.557,,,matmul_ms_1024x1024,0.081463,ms
