mode	db_path	table	row_count	columns
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/host/sqlite/rts_track.db	HostTaskFlip	2	stream_id,timestamp,task_id,flip_num
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/host/sqlite/runtime.db	HostTask	132574	model_id,request_id,stream_id,task_id,context_ids,batch_id,task_type,kernel_name,device_id,timestamp,connection_id,thread_id
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/host/sqlite/stream_expand_spec.db	StreamExpandSpec	1	expand_status
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/host/sqlite/time.db	Time	0	device_id,dev_mon,dev_wall,dev_cntvct,host_mon,host_wall
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	AICORE_FREQ	15	deviceId,timestampNs,freq
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	CANN_API	640584	startNs,endNs,type,globalTid,connectionId,name
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	COMPUTE_TASK_INFO	117491	name,globalTaskId,blockNum,mixBlockNum,taskType,opType,inputFormats,inputDataTypes,inputShapes,outputFormats,outputDataTypes,outputShapes,attrInfo,opState,hf32Eligible
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	ENUM_API_TYPE	5	id,name
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	ENUM_HCCL_DATA_TYPE	20	id,name
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	ENUM_HCCL_LINK_TYPE	10	id,name
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	ENUM_HCCL_RDMA_TYPE	5	id,name
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	ENUM_HCCL_TRANSPORT_TYPE	7	id,name
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	ENUM_MEMCPY_OPERATION	9	id,name
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	ENUM_MODULE	65	id,name
