case_id	mode	cell_id	request_role	request_role_index	input_cap_tokens	target_prefix_ratio_pct	target_prefix_ratio	target_shared_prefix_tokens	actual_shared_prefix_token_count	actual_input_token_count	actual_shared_prefix_ratio_pct	max_model_len	max_new_tokens	arrival_delay_ms	http_status	request_start_ns	first_token_ns	response_end_ns	ttft_us	tpot_us	decode_wall_us_after_first	client_wall_us	output_tokens_per_s	generated_token_count	stream_text_chunk_count	stream_inter_chunk_median_us	finish_reason	status	error_type	error	policy
cap16384_prefix60_measured_03	prefix_cache_off	cap16384_prefix60	measured	3	16384	60	0.6	9830	9830	16384	59.997559	18432	1024	200	200	1268360593589063	1268366411337475	1268458687699945	5817748	90201	92276362	98094110	10.438955	1024	1024	90077	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap16384_prefix90_warmup_01	prefix_cache_off	cap16384_prefix90	warmup	1	16384	90	0.9	14745	14745	16384	89.996338	18432	1024	0	200	1268584015797227	1268586435510144	1268673446814809	2419712	85055	87011304	89431017	11.450166	1024	1024	83391	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap16384_prefix90_measured_01	prefix_cache_off	cap16384_prefix90	measured	1	16384	90	0.9	14745	14745	16384	89.996338	18432	1024	0	200	1268673454213367	1268675617622210	1268767996382243	2163408	90301	92378760	94542168	10.831146	1024	1024	87846	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap16384_prefix90_measured_02	prefix_cache_off	cap16384_prefix90	measured	2	16384	90	0.9	14745	14745	16384	89.996338	18432	1024	100	200	1268673555111531	1268677740803464	1268768783943802	4185691	88996	91043140	95228832	10.753046	1024	1024	87832	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap16384_prefix90_measured_03	prefix_cache_off	cap16384_prefix90	measured	3	16384	90	0.9	14745	14745	16384	89.996338	18432	1024	200	200	1268673655367595	1268679431655309	1268769368889852	5776287	87915	89937234	95713522	10.698593	1024	1024	87824	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix30_warmup_01	prefix_cache_off	cap32768_prefix30	warmup	1	32768	30	0.3	9830	9830	32768	29.998779	34816	1024	0	200	1268897754939788	1268902322478777	1268992014243767	4567538	87675	89691764	94259303	10.863649	1024	1024	86431	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix30_measured_01	prefix_cache_off	cap32768_prefix30	measured	1	32768	30	0.3	9830	9830	32768	29.998779	34816	1024	0	200	1268992021766624	1268996233106283	1269093037270751	4211339	94627	96804164	101015504	10.137058	1024	1024	89507	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix30_measured_02	prefix_cache_off	cap32768_prefix30	measured	2	32768	30	0.3	9830	9830	32768	29.998779	34816	1024	100	200	1268992121817804	1269000349998621	1269094561239143	8228180	92093	94211240	102439421	9.996152	1024	1024	89520	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix30_measured_03	prefix_cache_off	cap32768_prefix30	measured	3	32768	30	0.3	9830	9830	32768	29.998779	34816	1024	200	200	1268992223314153	1269004138397479	1269095836863272	11915083	89636	91698465	103613549	9.882877	1024	1024	89458	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix60_warmup_01	prefix_cache_off	cap32768_prefix60	warmup	1	32768	60	0.6	19660	19660	32768	59.997559	34816	1024	0	200	1269221768543958	1269226140496668	1269310328369014	4371952	82295	84187872	88559825	11.562805	1024	1024	82002	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
