mode	input_cap_tokens	target_prefix_ratio_pct	common_metric	stage	value	unit	policy
prefix_cache_on	16384	30	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	30	Input Token Throughput	total	486.749442	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	30	Output Token Throughput	total	30.42184	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	30	Total Token Throughput	total	517.171282	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Benchmark Duration	total	96154.036	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Concurrency	total	2.978703	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Request Throughput	total	0.0312	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Total Input Tokens	total	49152.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Prefill Token Throughput	total	511.179791	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Input Token Throughput	total	511.179791	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Output Token Throughput	total	31.948737	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	60	Total Token Throughput	total	543.128528	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Benchmark Duration	total	92875.832	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Concurrency	total	2.992994	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Request Throughput	total	0.032301	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Total Input Tokens	total	49152.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Prefill Token Throughput	total	529.222715	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Input Token Throughput	total	529.222715	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Output Token Throughput	total	33.07642	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	16384	90	Total Token Throughput	total	562.299135	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Benchmark Duration	total	107534.946	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Concurrency	total	2.941106	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Request Throughput	total	0.027898	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Total Input Tokens	total	98304.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Prefill Token Throughput	total	914.15864	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Input Token Throughput	total	914.15864	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Output Token Throughput	total	28.567458	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	30	Total Token Throughput	total	942.726098	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Benchmark Duration	total	104066.448	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Concurrency	total	2.964635	request	benchmark_duration_based_vllm_openai_streaming_client_metric
