case_id	prompt_id	batch_id	batch_size	prefix_reuse_group	cap_tokens	max_new_tokens	full_token_count	expected_input_token_count	input_token_count	submitted_input_token_count	generated_token_count	generated_text_nonempty	finish_reason	prompt_input_mode	status	error_type	error
P007_prefix_a_first_cap4096_gen32	P007	batch_prefix_a_0001	2	prefix_group_a	4096	32	5972	4096	4096	4096	32	1	length	decoded_text_after_transformers_token_cap	success		
P008_prefix_a_second_cap4096_gen32	P008	batch_prefix_a_0001	2	prefix_group_a	4096	32	5975	4096	4096	4096	32	1	length	decoded_text_after_transformers_token_cap	success		
