mode	status	request_count	success_case_count	failed_case_count	generated_token_count_mismatch_count	total_input_token_count	total_generated_token_count	ttft_us_median	ttft_us_p95	tpot_us_median	tpot_us_p95	client_wall_us_median	client_wall_us_p95	output_tokens_per_s_median	aggregate_output_tokens_per_s	server_stats_sample_count	server_stats_max_running_reqs	server_stats_max_waiting_reqs	server_stats_max_kv_cache_usage_pct	server_stats_max_prefix_cache_hit_rate_pct	policy
prefix_cache_on	success	32	32	0	0	220502	2048	8276868.0	9612211.0	137364.5	211114.15	16404872.0	16931305.85	3.901281	3.912141	2	15	17	8.2	63.3	streaming_perf_pair_summary_no_bottleneck_claim
prefix_cache_off	success	32	32	0	0	220502	2048	12916854.0	25161761.05	270670.5	302538.55	30024808.5	32504488.8	2.131571	2.297828	3	21	21	16.1	0.0	streaming_perf_pair_summary_no_bottleneck_claim
