mode	prefix_cache_requested	status	request_count	success_case_count	client_overlap_candidate_count	server_stats_sample_count	server_stats_max_running_reqs	server_stats_max_waiting_reqs	server_stats_max_kv_cache_usage_pct	server_stats_max_prefix_cache_hit_rate_pct	server_command_has_enable_prefix_caching
prefix_cache_on	1	success	16	16	120	1	15	1	7.9	49.2	1
prefix_cache_off	0	success	16	16	120	2	9	5	6.3	0.0	0
