source	path	table_or_json	column_or_key	type_or_value
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/mindstudio_profiler_output/msprof_20260706001319.json	-	[10].ts	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/mindstudio_profiler_output/msprof_20260706001319.json	-	[11].ts	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/mindstudio_profiler_output/msprof_20260706001319.json	-	[12].ts	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/mindstudio_profiler_output/msprof_20260706001319.json	-	[13].ts	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/mindstudio_profiler_output/msprof_20260706001319.json	-	[14].ts	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/mindstudio_profiler_output/msprof_20260706001319.json	-	[15].ts	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/mindstudio_profiler_output/msprof_20260706001319.json	-	[16].ts	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	hostSysUsage	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	qosEvents	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	runtimeApi	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ts_cpu_hot_function	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	l2CacheTaskProfilingEvents	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	runtimeTrace	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	npuEvents	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ts_memcpy	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	tsCpuProfiling	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ts_cpu_profiling_events	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	hwts_log1	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	aiv_profiling_events	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ai_core_profiling_events	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ts_keypoint	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ts_task_track	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ts_fw_training	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ts_cpu_usage	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	taskTime	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ts_timeline	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	taskTsfw	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ts_task_time	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	hwts_log	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ai_ctrl_cpu_profiling_events	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	llc_profiling_events	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	durationTime	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	hbm_profiling_events	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	ddr_profiling_events	str
json	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sample.json	-	delayTime	str
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	AICORE_FREQ	timestampNs	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	CANN_API	startNs	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	CANN_API	endNs	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	COMPUTE_TASK_INFO	inputFormats	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	COMPUTE_TASK_INFO	inputShapes	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	COMPUTE_TASK_INFO	outputFormats	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	COMPUTE_TASK_INFO	outputShapes	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	SESSION_TIME_INFO	startTimeNs	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	SESSION_TIME_INFO	endTimeNs	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	startNs	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	endNs	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/api_event.db	ApiData	start	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/api_event.db	ApiData	end	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	timestamp	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	timestamp	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	input_formats	TEXT
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	output_formats	TEXT
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/rts_track.db	HostTaskFlip	timestamp	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	op_report	total_time	REAL
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	rts_task	start_time	INTEGER
