db_path	table	column	type
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	ENUM_MEMCPY_OPERATION	id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	ENUM_MEMCPY_OPERATION	name	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	ENUM_MODULE	id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	ENUM_MODULE	name	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	ENUM_MSTX_EVENT_TYPE	id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	ENUM_MSTX_EVENT_TYPE	name	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	HOST_INFO	hostUid	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	HOST_INFO	hostName	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	META_DATA	name	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	META_DATA	value	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	NPU_INFO	id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	NPU_INFO	name	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	RANK_DEVICE_MAP	rankId	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	RANK_DEVICE_MAP	deviceId	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	SESSION_TIME_INFO	startTimeNs	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	SESSION_TIME_INFO	endTimeNs	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	STRING_IDS	id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	STRING_IDS	value	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	startNs	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	endNs	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	deviceId	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	connectionId	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	globalTaskId	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	globalPid	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	taskType	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	contextId	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	streamId	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	taskId	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK	modelId	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK_PMU_INFO	globalTaskId	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK_PMU_INFO	name	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/msprof_20260706001319.db	TASK_PMU_INFO	value	NUMERIC
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/api_event.db	ApiData	struct_type	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/api_event.db	ApiData	id	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/api_event.db	ApiData	level	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/api_event.db	ApiData	thread_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/api_event.db	ApiData	item_id	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/api_event.db	ApiData	start	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/api_event.db	ApiData	end	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/api_event.db	ApiData	connection_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	model_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	request_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	stream_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	task_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	context_ids	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	batch_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	task_type	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	kernel_name	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	device_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	timestamp	NUMERIC
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	connection_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/runtime.db	HostTask	thread_id	NUMERIC
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/stream_expand_spec.db	StreamExpandSpec	expand_status	NUMERIC
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	model_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	op_name	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	stream_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	task_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	block_num	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	mix_block_num	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	op_state	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	task_type	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	op_type	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	index_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	thread_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	timestamp	NUMERIC
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	batch_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	tensor_num	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	input_formats	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	input_data_types	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	input_shapes	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	output_formats	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	output_data_types	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	output_shapes	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	device_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	context_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	op_flag	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_info.db	TaskInfo	hashid	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/rts_track.db	HostTaskFlip	stream_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/rts_track.db	HostTaskFlip	timestamp	NUMERIC
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/rts_track.db	HostTaskFlip	task_id	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/rts_track.db	HostTaskFlip	flip_num	INTEGER
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_hash.db	GeHashInfo	hash_key	TEXT
/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/host/sqlite/ge_hash.db	GeHashInfo	hash_value	TEXT
