mode	prefix_reuse_group	first_case_id	second_case_id	delta_task_row_count_second_minus_first	delta_total_duration_time_second_minus_first	policy
msprof_prefix_cache_off	burst_prefix_a	P011_api_continuous32_w1_burst_001_cap4096_gen64	P011_api_continuous32_w1_burst_002_cap4096_gen64	2823	554770266	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_off	continuous_prefix_a	P012_api_continuous32_w1_001_cap8192_gen64	P012_api_continuous32_w1_002_cap8192_gen64	5707	1063770488	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_off	prefix_group_a	P007_api_continuous32_w1_prefix_first_cap8192_gen64	P008_api_continuous32_w1_prefix_second_cap8192_gen64	4653	887251241	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_off	system_long_a	P003_api_continuous32_w1_system_001_cap8192_gen64	P003_api_continuous32_w1_system_002_cap8192_gen64	5836	210690109	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_on	burst_prefix_a	P011_api_continuous32_w1_burst_001_cap4096_gen64	P011_api_continuous32_w1_burst_002_cap4096_gen64	105	-47360729	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_on	continuous_prefix_a	P012_api_continuous32_w1_001_cap8192_gen64	P012_api_continuous32_w1_002_cap8192_gen64	-801	-116414869	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_on	prefix_group_a	P007_api_continuous32_w1_prefix_first_cap8192_gen64	P008_api_continuous32_w1_prefix_second_cap8192_gen64	2460	43904037	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_on	system_long_a	P003_api_continuous32_w1_system_001_cap8192_gen64	P003_api_continuous32_w1_system_002_cap8192_gen64	-920	-88861855	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
