case_id	mode	cell_id	request_role	request_role_index	input_cap_tokens	target_prefix_ratio_pct	target_prefix_ratio	target_shared_prefix_tokens	actual_shared_prefix_token_count	actual_input_token_count	actual_shared_prefix_ratio_pct	max_model_len	max_new_tokens	arrival_delay_ms	http_status	request_start_ns	first_token_ns	response_end_ns	ttft_us	tpot_us	decode_wall_us_after_first	client_wall_us	output_tokens_per_s	generated_token_count	stream_text_chunk_count	stream_inter_chunk_median_us	finish_reason	status	error_type	error	policy
cap16384_prefix60_measured_03	prefix_cache_on	cap16384_prefix60	measured	3	16384	60	0.6	9830	9830	16384	59.997559	18432	1024	200	200	1263433542009455	1263437457943458	1263529495026147	3915934	89967	92037082	95953016	10.67189	1024	1024	89909	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap16384_prefix90_warmup_01	prefix_cache_on	cap16384_prefix90	warmup	1	16384	90	0.9	14745	14745	16384	89.996338	18432	1024	0	200	1263657509492260	1263659853837385	1263745546804796	2344345	83766	85692967	88037312	11.631432	1024	1024	83446	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap16384_prefix90_measured_01	prefix_cache_on	cap16384_prefix90	measured	1	16384	90	0.9	14745	14745	16384	89.996338	18432	1024	0	200	1263745554401344	1263746139445126	1263838167238747	585043	89958	92027793	92612837	11.056783	1024	1024	89399	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap16384_prefix90_measured_02	prefix_cache_on	cap16384_prefix90	measured	2	16384	90	0.9	14745	14745	16384	89.996338	18432	1024	100	200	1263745655179413	1263746543288954	1263838344362632	888109	89737	91801073	92689183	11.047675	1024	1024	89399	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap16384_prefix90_measured_03	prefix_cache_on	cap16384_prefix90	measured	3	16384	90	0.9	14745	14745	16384	89.996338	18432	1024	200	200	1263745755401613	1263746836971844	1263838430233746	1081570	89533	91593261	92674832	11.049386	1024	1024	89399	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix30_warmup_01	prefix_cache_on	cap32768_prefix30	warmup	1	32768	30	0.3	9830	9830	32768	29.998779	34816	1024	0	200	1263968454453569	1263972927584448	1264060918924879	4473130	86013	87991340	92464471	11.074524	1024	1024	85925	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix30_measured_01	prefix_cache_on	cap32768_prefix30	measured	1	32768	30	0.3	9830	9830	32768	29.998779	34816	1024	0	200	1264060926213497	1264064379542588	1264164340559299	3453329	97713	99961016	103414345	9.901914	1024	1024	91971	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix30_measured_02	prefix_cache_on	cap32768_prefix30	measured	2	32768	30	0.3	9830	9830	32768	29.998779	34816	1024	100	200	1264061027500316	1264069541020245	1264166551424601	8513519	94829	97010404	105523924	9.703961	1024	1024	91948	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix30_measured_03	prefix_cache_on	cap32768_prefix30	measured	3	32768	30	0.3	9830	9830	32768	29.998779	34816	1024	200	200	1264061127779875	1264074324628449	1264168461159655	13196848	92020	94136531	107333379	9.540369	1024	1024	91888	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix60_warmup_01	prefix_cache_on	cap32768_prefix60	warmup	1	32768	60	0.6	19660	19660	32768	59.997559	34816	1024	0	200	1264290536650916	1264294921399101	1264378725902797	4384748	81920	83804503	88189251	11.611392	1024	1024	81733	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix60_measured_01	prefix_cache_on	cap32768_prefix60	measured	1	32768	60	0.6	19660	19660	32768	59.997559	34816	1024	0	200	1264378733638904	1264380827771198	1264480470160250	2094132	97402	99642389	101736521	10.065215	1024	1024	93306	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix60_measured_02	prefix_cache_on	cap32768_prefix60	measured	2	32768	60	0.6	19660	19660	32768	59.997559	34816	1024	100	200	1264378834877501	1264383884012677	1264481752382810	5049135	95668	97868370	102917505	9.949717	1024	1024	93223	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix60_measured_03	prefix_cache_on	cap32768_prefix60	measured	3	32768	60	0.6	19660	19660	32768	59.997559	34816	1024	200	200	1264378935098858	1264386691210447	1264482800087727	7756111	93948	96108877	103864988	9.858953	1024	1024	93184	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix90_warmup_01	prefix_cache_on	cap32768_prefix90	warmup	1	32768	90	0.9	29491	29491	32768	89.99939	34816	1024	0	200	1264610370436778	1264614898573474	1264701315439720	4528136	84473	86416866	90945002	11.259552	1024	1024	84163	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix90_measured_01	prefix_cache_on	cap32768_prefix90	measured	1	32768	90	0.9	29491	29491	32768	89.99939	34816	1024	0	200	1264701322899417	1264702224940562	1264795731041554	902041	91403	93506100	94408142	10.846522	1024	1024	90238	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
