line_number	avg_prompt_throughput_tokens_s	avg_generation_throughput_tokens_s	running_reqs	waiting_reqs	gpu_kv_cache_usage_pct	prefix_cache_hit_rate_pct
146	1543.4	8.8	15	1	7.8	49.7
147	921.5	44.9	16	0	8.6	52.1
