mode	prefix_reuse_group	first_case_id	second_case_id	first_prompt_id	second_prompt_id	first_task_row_count	second_task_row_count	delta_task_row_count_second_minus_first	first_total_duration_time	second_total_duration_time	delta_total_duration_time_second_minus_first	policy
msprof_prefix_cache_off	burst_prefix_a	P011_api_continuous16_burst_001_cap4096_gen64	P011_api_continuous16_burst_002_cap4096_gen64	P011	P011	113420	114244	824	12972017543	12925697436	-46320107	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_off	continuous_prefix_a	P012_api_continuous16_001_cap8192_gen64	P012_api_continuous16_002_cap8192_gen64	P012	P012	118080	46847	-71233	12799993549	5860480153	-6939513396	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_off	prefix_group_a	P007_api_continuous16_prefix_first_cap8192_gen64	P008_api_continuous16_prefix_second_cap8192_gen64	P007	P008	111081	112675	1594	13042759370	13022699720	-20059650	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_off	system_long_a	P003_api_continuous16_system_001_cap8192_gen64	P003_api_continuous16_system_002_cap8192_gen64	P003	P003	66203	73570	7367	8799825712	9954990597	1155164885	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_on	burst_prefix_a	P011_api_continuous16_burst_001_cap4096_gen64	P011_api_continuous16_burst_002_cap4096_gen64	P011	P011	107287	107334	47	7900154944	7847798985	-52355959	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_on	continuous_prefix_a	P012_api_continuous16_001_cap8192_gen64	P012_api_continuous16_002_cap8192_gen64	P012	P012	112911	112163	-748	7782937305	7666175445	-116761860	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_on	prefix_group_a	P007_api_continuous16_prefix_first_cap8192_gen64	P008_api_continuous16_prefix_second_cap8192_gen64	P007	P008	103243	105639	2396	7924583165	7929580603	4997438	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
msprof_prefix_cache_on	system_long_a	P003_api_continuous16_system_001_cap8192_gen64	P003_api_continuous16_system_002_cap8192_gen64	P003	P003	113097	112103	-994	7252277698	7156100175	-96177523	prefix_pair_candidate_delta_no_prefix_cache_hit_claim
